'Similarity-Threshold','Clique','Single-Link','Star','String'
7,320478,1,117,30
6,468681,1,93,14
8,223795,1,145,40
9,88515,1,176,58
10,54750,1,202,83
11,49829,1,213,103
12,32494,1,235,111
13,15789,1,242,139
14,13365,1,249,152
15,8820,1,266,168
16,8751,1,275,185
17,6167,1,287,196
18,6407,1,291,200
19,4602,1,311,218
20,4066,1,316,228
21,3074,1,324,238
22,3915,1,329,247
23,3536,1,333,254
24,3263,1,338,261
25,2988,1,346,267
26,2616,1,343,272
27,2567,1,350,279
28,2220,1,352,286
29,1849,1,351,294
30,1611,1,358,303
31,1521,1,363,303
32,1330,1,369,310
33,1235,1,376,314
34,1061,1,378,317
35,969,1,382,320
36,942,1,390,329
37,879,1,391,331
38,839,1,324,332
39,803,1,328,336
40,764,1,334,339
41,731,1,334,342
42,725,1,341,347
43,736,1,343,352
44,715,1,347,356
45,660,1,354,359
46,644,1,356,362
47,633,1,358,361
48,622,1,361,363
49,623,1,368,369
50,604,1,371,369
51,594,1,376,369
52,571,1,377,371
53,551,1,382,375
54,562,1,384,377
55,555,1,387,380
56,543,1,391,381
57,547,1,395,383
58,556,1,395,384
59,557,1,396,389
60,547,1,398,389
61,538,1,400,389
62,552,2,404,395
63,552,2,406,392
64,548,2,410,393
65,537,3,411,395
66,528,3,411,394
67,521,4,413,397
68,550,4,415,397
69,547,4,415,399
70,536,4,416,398
71,525,4,417,399
72,528,4,418,402
73,526,4,419,402
74,526,4,420,404
75,521,4,423,404
76,523,4,423,405
77,519,4,423,406
78,518,4,423,409
79,517,4,423,411
80,509,5,423,413
81,503,5,423,412
82,500,7,427,413
83,498,7,427,415
84,496,8,427,415
85,493,8,430,415
86,489,8,430,414
87,492,9,431,414
88,487,9,434,416
89,487,10,435,416
90,487,10,436,419
91,487,10,437,421
92,492,10,437,421
93,491,11,437,421
94,498,11,438,424
95,496,11,439,425
96,494,13,439,421
97,490,14,439,424
98,493,14,439,424
99,491,15,440,424
100,487,15,442,425
101,487,16,443,426
102,486,17,443,428
103,485,18,443,429
104,488,18,443,429
105,497,18,443,430
106,497,18,443,428
107,497,18,443,428
108,495,19,444,431
109,506,19,446,432
110,509,19,446,432
111,510,21,447,434
112,507,22,447,434
113,507,22,447,435
114,504,23,448,434
115,505,23,450,434
116,503,23,451,434
117,501,24,451,435
118,496,24,453,436
119,496,25,454,436
120,494,26,455,435
121,495,28,455,435
122,493,29,455,436
123,492,31,455,437
124,492,32,456,439
125,491,32,457,439
126,491,33,458,439
127,490,33,458,439
128,489,35,459,440
129,488,36,459,440
130,487,37,459,440
131,488,37,460,441
132,487,37,460,441
133,487,40,460,442
134,489,42,461,442
135,487,43,461,442
136,487,45,461,442
137,487,46,461,442
138,484,46,461,443
139,486,46,462,443
140,485,47,461,444
141,482,48,461,445
142,482,48,461,445
143,481,48,461,445
144,481,48,461,445
145,481,49,461,445
146,481,51,462,446
147,480,51,462,446
148,480,53,462,447
149,482,54,462,447
150,481,55,463,448
151,482,56,463,449
152,482,57,463,449
153,487,57,463,449
154,487,59,463,449
155,485,59,463,449
156,484,61,464,450
157,484,63,464,450
158,485,63,464,450
159,485,63,464,450
160,485,63,464,450
161,485,64,464,450
162,485,64,464,450
163,485,67,464,450
164,489,68,464,451
165,484,68,465,451
166,484,72,465,451
167,485,73,465,451
168,486,75,465,451
169,485,76,465,451
170,485,80,465,451
171,482,81,466,452
172,482,81,466,451
173,483,81,467,452
174,483,81,467,452
175,483,84,467,453
176,483,85,467,453
177,483,88,467,454
178,483,88,467,454
179,483,89,468,454
180,483,90,468,454
181,482,91,468,454
182,482,91,469,454
183,481,92,470,453
184,481,93,470,453
185,481,94,470,453
186,483,97,470,453
187,483,98,470,453
188,484,98,471,454
189,485,99,471,455
190,486,103,472,455
191,486,104,472,455
192,484,105,472,455
193,484,107,473,456
194,483,109,473,456
195,483,109,473,456
196,483,111,473,456
197,484,111,475,456
198,491,111,476,456
199,491,111,476,456
5,1472137,1,66,12
4,3777613,1,38,4
